scenario,num_nodes,elevated_count,elevated_rate,coordinated_count,time_to_first_elevated,time_to_majority_elevated,time_to_first_coordinated,total_bytes,bytes_per_node,total_merges,merges_per_node,mean_final_sat,max_final_sat,approach,topology,seed,seed_idx
overlap_identical_event,32,0,0.0,0,,,,3714880,116090.0,3572,111.625,0.048828125,0.048828125,gm_cap_aware,corridor,70000,0
overlap_identical_event,32,0,0.0,0,,,,3601520,112547.5,3463,108.21875,0.048828125,0.048828125,gm_cap_aware,corridor,70137,1
overlap_identical_event,32,0,0.0,0,,,,3642080,113815.0,3502,109.4375,0.048828125,0.048828125,gm_cap_aware,corridor,70274,2
overlap_identical_event,32,0,0.0,0,,,,3700320,115635.0,3558,111.1875,0.048828125,0.048828125,gm_cap_aware,corridor,70411,3
overlap_identical_event,32,0,0.0,0,,,,3616080,113002.5,3477,108.65625,0.048828125,0.048828125,gm_cap_aware,corridor,70548,4
overlap_identical_event,32,0,0.0,0,,,,3635840,113620.0,3496,109.25,0.048828125,0.048828125,gm_cap_aware,corridor,70685,5
overlap_identical_event,32,0,0.0,0,,,,3662880,114465.0,3522,110.0625,0.048828125,0.048828125,gm_cap_aware,corridor,70822,6
overlap_identical_event,32,0,0.0,0,,,,3658720,114335.0,3518,109.9375,0.048828125,0.048828125,gm_cap_aware,corridor,70959,7
overlap_identical_event,32,0,0.0,0,,,,3661840,114432.5,3521,110.03125,0.048828125,0.048828125,gm_cap_aware,corridor,71096,8
overlap_identical_event,32,0,0.0,0,,,,3625440,113295.0,3486,108.9375,0.048828125,0.048828125,gm_cap_aware,corridor,71233,9
overlap_identical_event,32,0,0.0,0,,,,3739840,116870.0,3596,112.375,0.048828125,0.048828125,gm_cap_aware,corridor,71370,10
overlap_identical_event,32,0,0.0,0,,,,3690960,115342.5,3549,110.90625,0.048828125,0.048828125,gm_cap_aware,corridor,71507,11
overlap_identical_event,32,0,0.0,0,,,,3589040,112157.5,3451,107.84375,0.048828125,0.048828125,gm_cap_aware,corridor,71644,12
overlap_identical_event,32,0,0.0,0,,,,3568240,111507.5,3431,107.21875,0.048828125,0.048828125,gm_cap_aware,corridor,71781,13
overlap_identical_event,32,0,0.0,0,,,,3625440,113295.0,3486,108.9375,0.048828125,0.048828125,gm_cap_aware,corridor,71918,14
overlap_identical_event,32,0,0.0,0,,,,3628560,113392.5,3489,109.03125,0.048828125,0.048828125,gm_cap_aware,corridor,72055,15
overlap_identical_event,32,0,0.0,0,,,,3620240,113132.5,3481,108.78125,0.048828125,0.048828125,gm_cap_aware,corridor,72192,16
overlap_identical_event,32,0,0.0,0,,,,3687840,115245.0,3546,110.8125,0.048828125,0.048828125,gm_cap_aware,corridor,72329,17
overlap_identical_event,32,0,0.0,0,,,,3670160,114692.5,3529,110.28125,0.048828125,0.048828125,gm_cap_aware,corridor,72466,18
overlap_identical_event,32,0,0.0,0,,,,3770000,117812.5,3625,113.28125,0.048828125,0.048828125,gm_cap_aware,corridor,72603,19
overlap_identical_event,32,0,0.0,0,,,,22642880,707590.0,21772,680.375,0.048828125,0.048828125,gm_cap_aware,wing_gateway,70000,0
overlap_identical_event,32,0,0.0,0,,,,22652240,707882.5,21781,680.65625,0.048828125,0.048828125,gm_cap_aware,wing_gateway,70137,1
overlap_identical_event,32,0,0.0,0,,,,22648080,707752.5,21777,680.53125,0.048828125,0.048828125,gm_cap_aware,wing_gateway,70274,2
overlap_identical_event,32,0,0.0,0,,,,22850880,714090.0,21972,686.625,0.048828125,0.048828125,gm_cap_aware,wing_gateway,70411,3
overlap_identical_event,32,0,0.0,0,,,,22535760,704242.5,21669,677.15625,0.048828125,0.048828125,gm_cap_aware,wing_gateway,70548,4
overlap_identical_event,32,0,0.0,0,,,,22469200,702162.5,21605,675.15625,0.048828125,0.048828125,gm_cap_aware,wing_gateway,70685,5
overlap_identical_event,32,0,0.0,0,,,,22517040,703657.5,21651,676.59375,0.048828125,0.048828125,gm_cap_aware,wing_gateway,70822,6
overlap_identical_event,32,0,0.0,0,,,,22835280,713602.5,21957,686.15625,0.048828125,0.048828125,gm_cap_aware,wing_gateway,70959,7
overlap_identical_event,32,0,0.0,0,,,,22493120,702910.0,21628,675.875,0.048828125,0.048828125,gm_cap_aware,wing_gateway,71096,8
overlap_identical_event,32,0,0.0,0,,,,22661600,708175.0,21790,680.9375,0.048828125,0.048828125,gm_cap_aware,wing_gateway,71233,9
overlap_identical_event,32,0,0.0,0,,,,22864400,714512.5,21985,687.03125,0.048828125,0.048828125,gm_cap_aware,wing_gateway,71370,10
overlap_identical_event,32,0,0.0,0,,,,22762480,711327.5,21887,683.96875,0.048828125,0.048828125,gm_cap_aware,wing_gateway,71507,11
overlap_identical_event,32,0,0.0,0,,,,22594000,706062.5,21725,678.90625,0.048828125,0.048828125,gm_cap_aware,wing_gateway,71644,12
overlap_identical_event,32,0,0.0,0,,,,22532640,704145.0,21666,677.0625,0.048828125,0.048828125,gm_cap_aware,wing_gateway,71781,13
overlap_identical_event,32,0,0.0,0,,,,22616880,706777.5,21747,679.59375,0.048828125,0.048828125,gm_cap_aware,wing_gateway,71918,14
overlap_identical_event,32,0,0.0,0,,,,22587760,705867.5,21719,678.71875,0.048828125,0.048828125,gm_cap_aware,wing_gateway,72055,15
overlap_identical_event,32,0,0.0,0,,,,22771840,711620.0,21896,684.25,0.048828125,0.048828125,gm_cap_aware,wing_gateway,72192,16
overlap_identical_event,32,0,0.0,0,,,,22781200,711912.5,21905,684.53125,0.048828125,0.048828125,gm_cap_aware,wing_gateway,72329,17
overlap_identical_event,32,0,0.0,0,,,,22798880,712465.0,21922,685.0625,0.048828125,0.048828125,gm_cap_aware,wing_gateway,72466,18
overlap_identical_event,32,0,0.0,0,,,,22737520,710547.5,21863,683.21875,0.048828125,0.048828125,gm_cap_aware,wing_gateway,72603,19
overlap_identical_event,32,0,0.0,0,,,,10818080,338065.0,10402,325.0625,0.048828125,0.048828125,gm_cap_aware,campus_building,70000,0
overlap_identical_event,32,0,0.0,0,,,,10807680,337740.0,10392,324.75,0.048828125,0.048828125,gm_cap_aware,campus_building,70137,1
overlap_identical_event,32,0,0.0,0,,,,10781680,336927.5,10367,323.96875,0.048828125,0.048828125,gm_cap_aware,campus_building,70274,2
overlap_identical_event,32,0,0.0,0,,,,10988640,343395.0,10566,330.1875,0.048828125,0.048828125,gm_cap_aware,campus_building,70411,3
overlap_identical_event,32,0,0.0,0,,,,10872160,339755.0,10454,326.6875,0.048828125,0.048828125,gm_cap_aware,campus_building,70548,4
overlap_identical_event,32,0,0.0,0,,,,10808720,337772.5,10393,324.78125,0.048828125,0.048828125,gm_cap_aware,campus_building,70685,5
overlap_identical_event,32,0,0.0,0,,,,10809760,337805.0,10394,324.8125,0.048828125,0.048828125,gm_cap_aware,campus_building,70822,6
overlap_identical_event,32,0,0.0,0,,,,10918960,341217.5,10499,328.09375,0.048828125,0.048828125,gm_cap_aware,campus_building,70959,7
overlap_identical_event,32,0,0.0,0,,,,10808720,337772.5,10393,324.78125,0.048828125,0.048828125,gm_cap_aware,campus_building,71096,8
overlap_identical_event,32,0,0.0,0,,,,10920000,341250.0,10500,328.125,0.048828125,0.048828125,gm_cap_aware,campus_building,71233,9
overlap_identical_event,32,0,0.0,0,,,,11028160,344630.0,10604,331.375,0.048828125,0.048828125,gm_cap_aware,campus_building,71370,10
overlap_identical_event,32,0,0.0,0,,,,10954320,342322.5,10533,329.15625,0.048828125,0.048828125,gm_cap_aware,campus_building,71507,11
overlap_identical_event,32,0,0.0,0,,,,10856560,339267.5,10439,326.21875,0.048828125,0.048828125,gm_cap_aware,campus_building,71644,12
overlap_identical_event,32,0,0.0,0,,,,10759840,336245.0,10346,323.3125,0.048828125,0.048828125,gm_cap_aware,campus_building,71781,13
overlap_identical_event,32,0,0.0,0,,,,10785840,337057.5,10371,324.09375,0.048828125,0.048828125,gm_cap_aware,campus_building,71918,14
