condition_id,seed,profile,m,k,topology,contact_prob,epoch_length,traffic_regime,attack_type,has_real_attack,approach,scenario,num_nodes,time_to_first_local_suspicion,time_to_median_local_suspicion,time_to_first_regional_coord,time_to_median_regional_coord,time_to_fleet_awareness,false_escalation_count,true_coord_hits,missed_coord_attacks,stale_pressure_events,total_bytes,total_merges,bytes_per_node,mean_packet_size,max_saturation_pct,steps_in_harmful_saturation,final_saturation_variance,degradation_under_malicious,layer_a_fp_rate,layer_a_campaign_recall,layer_a_sat_pct
0,50000,negative_control_4096,4096,2,ring,0.15,100,benign_heavy,none,False,ghost_meadow,benign_heavy_negative_control_4096,12,26,31,90,96,31,12,0,0,30,1854320,1783,154526.66666666666,1040.0,65.75113932291667,0,5.59126337369283,0.0,0.02,1.0,13.4521484375
0,50000,negative_control_4096,4096,2,ring,0.15,100,benign_heavy,none,False,local_only,benign_heavy_negative_control_4096,12,39,43,,,43,0,0,0,0,0,0,0.0,0.0,59.633333333333326,0,4.207499999999999,0.0,,,
0,50000,negative_control_4096,4096,2,ring,0.15,100,benign_heavy,none,False,exact_gossip,benign_heavy_negative_control_4096,12,9,12,15,28,12,12,0,0,304,5738036,1783,478169.6666666667,3218.1918115535614,95.0,363,0.0,0.0,,,
1,50000,negative_control_4096,4096,2,star_sparse,0.4,200,coordinated_bursty,distributed_campaign,True,ghost_meadow,coordinated_bursty_negative_control_4096,12,30,31,137,139,31,0,4,8,173,5476640,5266,456386.6666666667,1040.0,75.26448567708333,0,0.1687804857889811,0.0,0.02,1.0,13.4521484375
1,50000,negative_control_4096,4096,2,star_sparse,0.4,200,coordinated_bursty,distributed_campaign,True,local_only,coordinated_bursty_negative_control_4096,12,65,69,166,178,69,0,12,0,0,0,0,0.0,0.0,74.51666666666667,0,4.243055555555561,0.0,,,
1,50000,negative_control_4096,4096,2,star_sparse,0.4,200,coordinated_bursty,distributed_campaign,True,exact_gossip,coordinated_bursty_negative_control_4096,12,8,9,17,22,9,0,12,0,413,19325528,5266,1610460.6666666667,3669.868590960881,95.0,439,0.0,0.0,,,
2,50000,negative_control_4096,4096,2,regional_mesh,0.7,300,low_and_slow,distributed_campaign,True,ghost_meadow,low_and_slow_negative_control_4096,12,29,30,138,214,30,0,12,0,275,15379520,14788,1281626.6666666667,1040.0,80.52775065104167,8,0.00021109978357950845,0.0,0.02,1.0,13.4521484375
2,50000,negative_control_4096,4096,2,regional_mesh,0.7,300,low_and_slow,distributed_campaign,True,local_only,low_and_slow_negative_control_4096,12,64,69,165,181,69,0,12,0,42,0,0,0.0,0.0,95.0,78,7.3488888888888875,0.0,,,
2,50000,negative_control_4096,4096,2,regional_mesh,0.7,300,low_and_slow,distributed_campaign,True,exact_gossip,low_and_slow_negative_control_4096,12,7,7,17,17,7,0,12,0,447,56299080,14788,4691590.0,3807.07871246957,95.0,462,0.0,0.0,,,
3,50000,negative_control_4096,4096,2,partitioned_clusters,0.15,100,poison_heavy,poison_flood,True,ghost_meadow,poison_heavy_negative_control_4096,12,31,32,,,32,0,0,0,54,4449120,4266,370760.0,1042.9254571026722,55.09588068181818,0,0.8720799911120707,0.0,0.02,1.0,13.4521484375
3,50000,negative_control_4096,4096,2,partitioned_clusters,0.15,100,poison_heavy,poison_flood,True,local_only,poison_heavy_negative_control_4096,12,64,69,,,69,0,0,0,0,0,0,0.0,0.0,36.87272727272727,0,0.9269421487603331,0.0,,,
3,50000,negative_control_4096,4096,2,partitioned_clusters,0.15,100,poison_heavy,poison_flood,True,exact_gossip,poison_heavy_negative_control_4096,12,9,13,20,23,13,11,0,0,324,12833242,4259,1069436.8333333333,3013.205447288096,95.0,375,0.0,0.0,,,
4,50000,negative_control_4096,4096,2,full_mesh,0.4,200,collusion_3,coordinated_poison,True,ghost_meadow,collusion_3_negative_control_4096,12,41,50,397,397,50,9,0,0,164,20686120,19905,1723843.3333333333,1039.2424014066817,75.3173828125,0,0.010066562228732638,0.0,0.02,1.0,13.4521484375
4,50000,negative_control_4096,4096,2,full_mesh,0.4,200,collusion_3,coordinated_poison,True,local_only,collusion_3_negative_control_4096,12,65,71,172,182,71,9,0,0,1,0,0,0.0,0.0,71.9111111111111,0,3.6000000000000036,0.0,,,
4,50000,negative_control_4096,4096,2,full_mesh,0.4,200,collusion_3,coordinated_poison,True,exact_gossip,collusion_3_negative_control_4096,12,7,8,19,19,8,9,0,0,414,55448862,19934,4620738.5,2781.622454098525,95.0,437,0.0,0.0,,,
5,50000,negative_control_4096,4096,2,ring,0.7,300,namespace_flood,namespace_flood,True,ghost_meadow,namespace_flood_negative_control_4096,12,2,2,8,12,2,11,0,0,423,8063120,7749,671926.6666666666,1040.5368434636728,100.0,468,0.0,0.0,0.02,1.0,13.4521484375
5,50000,negative_control_4096,4096,2,ring,0.7,300,namespace_flood,namespace_flood,True,local_only,namespace_flood_negative_control_4096,12,64,69,172,181,69,11,0,0,36,0,0,0.0,0.0,95.0,74,7.045950413223138,0.0,,,
5,50000,negative_control_4096,4096,2,ring,0.7,300,namespace_flood,namespace_flood,True,exact_gossip,namespace_flood_negative_control_4096,12,1,1,2,2,1,11,0,0,484,29414210,7747,2451184.1666666665,3796.851684523041,95.0,495,0.0,0.0,,,
6,50000,negative_control_4096,4096,2,star_sparse,0.15,100,stale_replay,replay_stale,True,ghost_meadow,stale_replay_negative_control_4096,12,33,37,,,37,0,0,11,42,1166360,1141,97196.66666666667,1022.2261174408413,55.12917258522727,0,1.6644079823139286,0.0,0.02,1.0,13.4521484375
6,50000,negative_control_4096,4096,2,star_sparse,0.15,100,stale_replay,replay_stale,True,local_only,stale_replay_negative_control_4096,12,64,69,,,69,0,0,11,0,0,0,0.0,0.0,36.87272727272727,0,0.9269421487603331,0.0,,,
6,50000,negative_control_4096,4096,2,star_sparse,0.15,100,stale_replay,replay_stale,True,exact_gossip,stale_replay_negative_control_4096,12,24,46,56,57,46,0,3,8,0,1016302,1109,84691.83333333333,916.4129846708746,74.52727272727272,0,192.11173553719007,0.0,,,
7,50000,good_regime_32768,32768,7,regional_mesh,0.4,200,benign_heavy,none,False,ghost_meadow,benign_heavy_good_regime_32768,12,45,46,,,46,0,0,0,264,69332976,8447,5777748.0,8208.0,50.91705322265625,0,0.021250194145573508,0.0,0.0,1.0,6.0821533203125
7,50000,good_regime_32768,32768,7,regional_mesh,0.4,200,benign_heavy,none,False,local_only,benign_heavy_good_regime_32768,12,39,43,104,110,43,12,0,0,67,0,0,0.0,0.0,95.0,125,4.207499999999999,0.0,,,
7,50000,good_regime_32768,32768,7,regional_mesh,0.4,200,benign_heavy,none,False,exact_gossip,benign_heavy_good_regime_32768,12,5,5,11,11,5,12,0,0,441,32041620,8447,2670135.0,3793.254409849651,95.0,460,0.0,0.0,,,
8,50000,good_regime_32768,32768,7,partitioned_clusters,0.7,300,coordinated_bursty,distributed_campaign,True,ghost_meadow,coordinated_bursty_good_regime_32768,12,75,123,,,123,0,0,12,305,178720992,21774,14893416.0,8208.0,52.15886433919271,0,0.01781225566648775,0.0,0.0,1.0,6.0821533203125
8,50000,good_regime_32768,32768,7,partitioned_clusters,0.7,300,coordinated_bursty,distributed_campaign,True,local_only,coordinated_bursty_good_regime_32768,12,65,69,166,178,69,0,12,0,47,0,0,0.0,0.0,95.0,80,11.793333333333344,0.0,,,
