scenario,approach,num_nodes,time_to_first_local_suspicion,time_to_median_local_suspicion,time_to_first_regional_coord,time_to_median_regional_coord,time_to_fleet_awareness,false_escalation_count,true_coord_hits,missed_coord_attacks,stale_pressure_events,total_bytes,total_merges,bytes_per_node,mean_packet_size,max_saturation_pct,steps_in_harmful_saturation,final_saturation_variance,degradation_under_malicious
A_benign_baseline,ghost_meadow,12,27,29,141,146,29,12,0,0,186,8723520,8388,726960.0,1040.0,73.150634765625,0,0.10046694013807507,0.0
A_benign_baseline,capacity_aware,12,22,27,26,30,27,10,0,0,186,8723520,8388,726960.0,1040.0,73.150634765625,0,0.10046694013807507,0.0
B_coordinated_attack,ghost_meadow,12,29,30,143,144,30,0,12,0,175,8674640,8341,722886.6666666666,1040.0,74.267578125,0,0.004718701044718425,0.0
B_coordinated_attack,capacity_aware,12,21,29,23,50,29,0,12,0,175,8674640,8341,722886.6666666666,1040.0,74.267578125,0,0.004718701044718425,0.0
C_single_poison,ghost_meadow,12,28,29,140,151,29,11,0,0,175,7726680,7436,643890.0,1039.090909090909,73.20667613636364,0,0.00759589770608697,0.0
C_single_poison,capacity_aware,12,27,31,29,45,31,9,0,0,191,7184320,7398,598693.3333333334,971.1165179778318,60.34268465909091,0,92.53602382565332,0.0
D_multi_collusion,ghost_meadow,12,33,35,138,143,35,9,0,0,161,6398080,6169,533173.3333333334,1037.1340573836926,75.08138020833333,0,0.038941701253255204,0.0
D_multi_collusion,capacity_aware,12,21,21,23,46,21,9,0,0,173,5873400,6161,489450.0,953.3192663528648,63.948567708333336,0,64.22269491501797,0.0
E_namespace_flood,ghost_meadow,12,2,5,9,11,5,11,0,0,389,7830680,7503,652556.6666666666,1043.6731973877115,100.0,453,0.0,0.0
E_namespace_flood,capacity_aware,12,6,6,21,21,6,11,0,0,389,7281040,7525,606753.3333333334,967.5800664451828,100.0,453,0.0,0.0
F_replay_stale,ghost_meadow,12,31,31,138,142,31,0,11,0,153,9219080,8831,768256.6666666666,1043.9451930698674,67.6669034090909,0,0.004797927604233924,0.0
F_replay_stale,capacity_aware,12,21,21,25,56,21,0,10,1,172,8565960,8828,713830.0,970.3171726325329,53.74422940340909,0,98.46841993410726,0.0
G_partition_asymmetry,ghost_meadow,12,27,28,145,163,28,0,9,3,183,12849200,12355,1070766.6666666667,1040.0,73.663330078125,0,0.05851189295450846,0.0
G_partition_asymmetry,capacity_aware,12,21,23,37,41,23,0,10,2,183,12849200,12355,1070766.6666666667,1040.0,73.663330078125,0,0.05851189295450846,0.0
H_transport_hostility,ghost_meadow,12,29,32,138,143,32,0,12,0,176,5176080,4977,431340.0,1040.0,73.67757161458333,0,0.2908044391208225,0.0
H_transport_hostility,capacity_aware,12,16,24,23,26,24,0,12,0,193,6168240,5931,514020.0,1040.0,73.72233072916667,0,0.054488579432169594,0.0
I_sybil_behavior,ghost_meadow,12,25,26,108,109,26,0,11,0,169,7747480,7452,645623.3333333334,1039.651100375738,80.8682528409091,12,0.07189009800430173,0.0
I_sybil_behavior,capacity_aware,12,21,35,23,41,35,0,11,0,153,7232680,7462,602723.3333333334,969.2682926829268,70.75417258522727,0,77.27647615858345,0.0
