scenario,approach,num_nodes,time_to_first_local_suspicion,time_to_median_local_suspicion,time_to_first_regional_coord,time_to_median_regional_coord,time_to_fleet_awareness,false_escalation_count,true_coord_hits,missed_coord_attacks,stale_pressure_events,total_bytes,total_merges,bytes_per_node,mean_packet_size,max_saturation_pct,steps_in_harmful_saturation,final_saturation_variance,profile
A_benign_baseline,ghost_meadow,12,27,29,141,146,29,12,0,0,0,8723520,8388,726960.0,1040.0,73.150634765625,0,0.10046694013807507,edge_pop
A_benign_baseline,local_only,12,64,70,177,186,70,12,0,0,0,0,0,0.0,0.0,70.28333333333335,0,2.939999999999999,edge_pop
A_benign_baseline,exact_gossip,12,7,8,18,19,8,12,0,0,0,12897304,8388,1074775.3333333333,1537.589890319504,95.0,419,0.0,edge_pop
A_benign_baseline,counter_agg,12,26,27,72,73,27,12,0,0,0,528380,8388,44031.666666666664,62.99237005245589,95.0,226,3.2155555555555666,edge_pop
B_coordinated_attack,ghost_meadow,12,29,30,143,144,30,0,12,0,0,8674640,8341,722886.6666666666,1040.0,74.267578125,0,0.004718701044718425,edge_pop
B_coordinated_attack,local_only,12,61,68,166,183,68,0,12,0,0,0,0,0.0,0.0,72.33333333333333,0,3.215555555555555,edge_pop
B_coordinated_attack,exact_gossip,12,8,9,19,22,9,0,12,0,0,12840632,8341,1070052.6666666667,1539.4595372257522,95.0,419,0.0,edge_pop
B_coordinated_attack,counter_agg,12,26,27,72,75,27,0,12,0,0,526012,8341,43834.333333333336,63.06342165208009,95.0,361,0.0,edge_pop
C_single_poison,ghost_meadow,12,28,29,140,151,29,11,0,0,0,7726680,7436,643890.0,1039.090909090909,73.20667613636364,0,0.00759589770608697,edge_pop
C_single_poison,local_only,12,60,69,171,185,69,11,0,0,0,0,0,0.0,0.0,71.45454545454545,0,3.8710743801652825,edge_pop
C_single_poison,exact_gossip,12,9,9,25,27,9,11,0,0,0,10037280,7398,836440.0,1356.7558799675587,95.0,372,0.0,edge_pop
C_single_poison,counter_agg,12,3,4,7,9,4,11,0,0,0,419830,7398,34985.833333333336,56.74912138415788,95.0,475,0.0,edge_pop
D_multi_collusion,ghost_meadow,12,33,35,138,143,35,9,0,0,0,6398080,6169,533173.3333333334,1037.1340573836926,75.08138020833333,0,0.038941701253255204,edge_pop
D_multi_collusion,local_only,12,67,71,173,186,71,9,0,0,0,0,0,0.0,0.0,70.82222222222224,0,4.524444444444447,edge_pop
D_multi_collusion,exact_gossip,12,11,12,28,30,12,9,0,0,0,8161916,6161,680159.6666666666,1324.771303359844,95.0,372,0.0,edge_pop
D_multi_collusion,counter_agg,12,4,4,11,12,4,9,0,0,0,339320,6161,28276.666666666668,55.075474760590815,95.0,461,0.0,edge_pop
E_namespace_flood,ghost_meadow,12,2,5,9,11,5,11,0,0,0,7830680,7503,652556.6666666666,1043.6731973877115,100.0,453,0.0,edge_pop
E_namespace_flood,local_only,12,64,68,173,183,68,11,0,0,0,0,0,0.0,0.0,71.39999999999999,0,1.2423140495867775,edge_pop
E_namespace_flood,exact_gossip,12,1,2,3,5,2,11,0,0,0,11013224,7525,917768.6666666666,1463.5513621262457,95.0,468,0.0,edge_pop
E_namespace_flood,counter_agg,12,1,2,3,3,2,11,0,0,0,424272,7525,35356.0,56.38166112956811,95.0,488,0.0,edge_pop
F_replay_stale,ghost_meadow,12,31,31,138,142,31,0,11,0,0,9219080,8831,768256.6666666666,1043.9451930698674,67.6669034090909,0,0.004797927604233924,edge_pop
F_replay_stale,local_only,12,64,72,,,72,0,0,11,0,0,0,0.0,0.0,53.618181818181824,0,4.854214876033058,edge_pop
F_replay_stale,exact_gossip,12,9,11,25,28,11,0,11,0,0,12161708,8828,1013475.6666666666,1377.6289080199365,95.0,440,0.0,edge_pop
F_replay_stale,counter_agg,12,13,14,22,23,14,0,11,0,0,482242,8828,40186.833333333336,54.626415949252376,95.0,549,0.0,edge_pop
G_partition_asymmetry,ghost_meadow,12,27,28,145,163,28,0,9,3,0,12849200,12355,1070766.6666666667,1040.0,73.663330078125,0,0.05851189295450846,edge_pop
G_partition_asymmetry,local_only,12,62,68,168,182,68,0,12,0,0,0,0,0.0,0.0,72.16666666666667,0,4.632222222222221,edge_pop
G_partition_asymmetry,exact_gossip,12,6,8,18,19,8,0,12,0,0,19039936,12355,1586661.3333333333,1541.071307163092,95.0,416,0.0,edge_pop
G_partition_asymmetry,counter_agg,12,23,25,55,59,25,0,12,0,0,778760,12355,64896.666666666664,63.03197086199919,95.0,376,0.0,edge_pop
H_transport_hostility,ghost_meadow,12,29,32,138,143,32,0,12,0,0,5176080,4977,431340.0,1040.0,73.67757161458333,0,0.2908044391208225,edge_pop
H_transport_hostility,local_only,12,62,70,172,178,70,0,12,0,0,0,0,0.0,0.0,72.26666666666667,0,3.055555555555559,edge_pop
H_transport_hostility,exact_gossip,12,8,10,18,23,10,0,12,0,0,9073680,5931,756140.0,1529.873545776429,95.0,414,0.0,edge_pop
H_transport_hostility,counter_agg,12,26,27,71,76,27,0,12,0,0,373636,5931,31136.333333333332,62.99713370426572,95.0,359,0.0,edge_pop
I_sybil_behavior,ghost_meadow,12,25,26,108,109,26,0,11,0,0,7747480,7452,645623.3333333334,1039.651100375738,80.8682528409091,12,0.07189009800430173,edge_pop
I_sybil_behavior,local_only,12,63,67,172,182,67,0,11,0,0,0,0,0.0,0.0,70.56363636363636,0,1.4697520661157037,edge_pop
I_sybil_behavior,exact_gossip,12,7,12,19,22,12,0,11,0,0,10517496,7462,876458.0,1409.474135620477,95.0,399,0.0,edge_pop
I_sybil_behavior,counter_agg,12,6,7,15,16,7,0,11,0,0,421838,7462,35153.166666666664,56.53149289734655,95.0,444,0.0,edge_pop
