scenario,approach,num_nodes,time_to_first_local_suspicion,time_to_median_local_suspicion,time_to_first_regional_coord,time_to_median_regional_coord,time_to_fleet_awareness,false_escalation_count,true_coord_hits,missed_coord_attacks,stale_pressure_events,total_bytes,total_merges,bytes_per_node,mean_packet_size,max_saturation_pct,steps_in_harmful_saturation,final_saturation_variance,degradation_under_malicious,profile,seed_idx
A_benign_baseline,ghost_meadow,12,27,29,141,146,29,12,0,0,186,8723520,8388,726960.0,1040.0,73.150634765625,0,0.10046694013807507,0.0,micro_4096,0
A_benign_baseline,local_only,12,64,70,177,186,70,12,0,0,0,0,0,0.0,0.0,70.28333333333335,0,2.939999999999999,0.0,micro_4096,0
A_benign_baseline,exact_gossip,12,7,8,16,17,8,12,0,0,412,30782328,8388,2565194.0,3669.805436337625,95.0,437,0.0,0.0,micro_4096,0
B_coordinated_attack,ghost_meadow,12,29,30,143,144,30,0,12,0,175,8674640,8341,722886.6666666666,1040.0,74.267578125,0,0.004718701044718425,0.0,micro_4096,0
B_coordinated_attack,local_only,12,61,68,166,183,68,0,12,0,0,0,0,0.0,0.0,72.33333333333333,0,3.215555555555555,0.0,micro_4096,0
B_coordinated_attack,exact_gossip,12,8,9,17,18,9,0,12,0,414,30635476,8341,2552956.3333333335,3672.8780721736002,95.0,437,0.0,0.0,micro_4096,0
C_single_poison,ghost_meadow,12,28,29,140,151,29,11,0,0,175,7726680,7436,643890.0,1039.090909090909,73.20667613636364,0,0.00759589770608697,0.0,micro_4096,0
C_single_poison,local_only,12,60,69,171,185,69,11,0,0,0,0,0,0.0,0.0,71.45454545454545,0,3.8710743801652825,0.0,micro_4096,0
C_single_poison,exact_gossip,12,9,9,22,24,9,11,0,0,282,22655752,7398,1887979.3333333333,3062.4157880508246,95.0,402,0.0,0.0,micro_4096,0
E_namespace_flood,ghost_meadow,12,2,5,9,11,5,11,0,0,389,7830680,7503,652556.6666666666,1043.6731973877115,100.0,453,0.0,0.0,micro_4096,0
E_namespace_flood,local_only,12,64,68,173,183,68,11,0,0,0,0,0,0.0,0.0,71.39999999999999,0,1.2423140495867775,0.0,micro_4096,0
