scenario,approach,num_nodes,time_to_first_local_suspicion,time_to_median_local_suspicion,time_to_first_regional_coord,time_to_median_regional_coord,time_to_fleet_awareness,false_escalation_count,true_coord_hits,missed_coord_attacks,stale_pressure_events,total_bytes,total_merges,bytes_per_node,mean_packet_size,max_saturation_pct,steps_in_harmful_saturation,final_saturation_variance,degradation_under_malicious,m,k
A_benign,ghost_meadow,12,4,5,10,11,5,12,0,0,359,1207872,8388,100656.0,144.0,100.0,437,0.0,0.0,512,2
A_benign,local_only,12,64,70,177,186,70,12,0,0,0,0,0,0.0,0.0,70.28333333333335,0,2.939999999999999,0.0,512,2
B_coordinated,ghost_meadow,12,4,5,12,13,5,0,12,0,363,1201104,8341,100092.0,144.0,100.0,439,0.0,0.0,512,2
B_coordinated,local_only,12,61,68,166,183,68,0,12,0,0,0,0,0.0,0.0,72.33333333333333,0,3.215555555555555,0.0,512,2
C_single_poison,ghost_meadow,12,3,4,11,12,4,11,0,0,355,1069848,7436,89154.0,143.87412587412587,100.0,436,0.0,0.0,512,2
C_single_poison,local_only,12,60,69,171,185,69,11,0,0,0,0,0,0.0,0.0,71.45454545454545,0,3.8710743801652825,0.0,512,2
A_benign,ghost_meadow,12,7,7,24,25,7,12,0,0,286,2281536,8388,190128.0,272.0,99.70703125,377,0.026755862765842006,0.0,1024,2
A_benign,local_only,12,64,70,177,186,70,12,0,0,0,0,0,0.0,0.0,70.28333333333335,0,2.939999999999999,0.0,1024,2
B_coordinated,ghost_meadow,12,7,8,25,27,8,0,12,0,289,2268752,8341,189062.66666666666,272.0,99.658203125,378,0.0,0.0,1024,2
B_coordinated,local_only,12,61,68,166,183,68,0,12,0,0,0,0,0.0,0.0,72.33333333333333,0,3.215555555555555,0.0,1024,2
C_single_poison,ghost_meadow,12,7,8,27,28,8,11,0,0,283,2020824,7436,168402.0,271.76223776223776,99.4140625,368,0.008827398631198347,0.0,1024,2
C_single_poison,local_only,12,60,69,171,185,69,11,0,0,0,0,0,0.0,0.0,71.45454545454545,0,3.8710743801652825,0.0,1024,2
A_benign,ghost_meadow,12,12,12,55,57,12,12,0,0,209,4428864,8388,369072.0,528.0,92.60660807291667,204,0.10940763685438366,0.0,2048,2
A_benign,local_only,12,64,70,177,186,70,12,0,0,0,0,0,0.0,0.0,70.28333333333335,0,2.939999999999999,0.0,2048,2
B_coordinated,ghost_meadow,12,14,16,57,59,16,0,12,0,213,4404048,8341,367004.0,528.0,94.03483072916667,212,0.00521540641784668,0.0,2048,2
B_coordinated,local_only,12,61,68,166,183,68,0,12,0,0,0,0,0.0,0.0,72.33333333333333,0,3.215555555555555,0.0,2048,2
C_single_poison,ghost_meadow,12,13,14,57,59,14,11,0,0,194,3922776,7436,326898.0,527.5384615384615,92.06764914772727,203,0.010127863608115961,0.0,2048,2
C_single_poison,local_only,12,60,69,171,185,69,11,0,0,0,0,0,0.0,0.0,71.45454545454545,0,3.8710743801652825,0.0,2048,2
A_benign,ghost_meadow,12,27,29,141,146,29,12,0,0,186,8723520,8388,726960.0,1040.0,73.150634765625,0,0.10046694013807507,0.0,4096,2
A_benign,local_only,12,64,70,177,186,70,12,0,0,0,0,0,0.0,0.0,70.28333333333335,0,2.939999999999999,0.0,4096,2
B_coordinated,ghost_meadow,12,29,30,143,144,30,0,12,0,175,8674640,8341,722886.6666666666,1040.0,74.267578125,0,0.004718701044718425,0.0,4096,2
B_coordinated,local_only,12,61,68,166,183,68,0,12,0,0,0,0,0.0,0.0,72.33333333333333,0,3.215555555555555,0.0,4096,2
C_single_poison,ghost_meadow,12,28,29,140,151,29,11,0,0,175,7726680,7436,643890.0,1039.090909090909,73.20667613636364,0,0.00759589770608697,0.0,4096,2
C_single_poison,local_only,12,60,69,171,185,69,11,0,0,0,0,0,0.0,0.0,71.45454545454545,0,3.8710743801652825,0.0,4096,2
A_benign,ghost_meadow,12,38,39,,,39,0,0,0,201,17312832,8388,1442736.0,2064.0,62.274169921875,0,0.0763518942726983,0.0,8192,3
A_benign,local_only,12,64,70,177,186,70,12,0,0,0,0,0,0.0,0.0,70.28333333333335,0,2.939999999999999,0.0,8192,3
B_coordinated,ghost_meadow,12,39,41,,,41,0,0,12,203,17215824,8341,1434652.0,2064.0,64.0167236328125,0,0.005223684840732151,0.0,8192,3
B_coordinated,local_only,12,61,68,166,183,68,0,12,0,0,0,0,0.0,0.0,72.33333333333333,0,3.215555555555555,0.0,8192,3
C_single_poison,ghost_meadow,12,38,39,,,39,0,0,0,193,15334488,7436,1277874.0,2062.195804195804,63.34561434659091,0,0.013576066198427815,0.0,8192,3
C_single_poison,local_only,12,60,69,171,185,69,11,0,0,0,0,0,0.0,0.0,71.45454545454545,0,3.8710743801652825,0.0,8192,3
A_benign,ghost_meadow,12,48,49,,,49,0,0,0,222,34491456,8388,2874288.0,4112.0,55.1513671875,0,0.05783590798576673,0.0,16384,5
A_benign,local_only,12,64,70,177,186,70,12,0,0,0,0,0,0.0,0.0,70.28333333333335,0,2.939999999999999,0.0,16384,5
B_coordinated,ghost_meadow,12,49,50,,,50,0,0,12,228,34298192,8341,2858182.6666666665,4112.0,56.75201416015625,0,0.00790899826420678,0.0,16384,5
B_coordinated,local_only,12,61,68,166,183,68,0,12,0,0,0,0,0.0,0.0,72.33333333333333,0,3.215555555555555,0.0,16384,5
C_single_poison,ghost_meadow,12,49,50,,,50,0,0,0,229,30550104,7436,2545842.0,4108.4055944055945,56.01584694602273,0,0.008171008638113984,0.0,16384,5
C_single_poison,local_only,12,60,69,171,185,69,11,0,0,0,0,0,0.0,0.0,71.45454545454545,0,3.8710743801652825,0.0,16384,5
A_benign,ghost_meadow,12,75,76,,,76,0,0,0,198,68848704,8388,5737392.0,8208.0,43.363189697265625,0,0.0440972831307186,0.0,32768,7
A_benign,local_only,12,64,70,177,186,70,12,0,0,0,0,0,0.0,0.0,70.28333333333335,0,2.939999999999999,0.0,32768,7
B_coordinated,ghost_meadow,12,76,78,,,78,0,0,12,208,68462928,8341,5705244.0,8208.0,44.791412353515625,0,0.005494997215767701,0.0,32768,7
B_coordinated,local_only,12,61,68,166,183,68,0,12,0,0,0,0,0.0,0.0,72.33333333333333,0,3.215555555555555,0.0,32768,7
C_single_poison,ghost_meadow,12,75,76,,,76,0,0,0,197,60981336,7436,5081778.0,8200.825174825175,43.939208984375,0,0.004523610773165363,0.0,32768,7
